"sku","name","description","manufacturer","manufacturer_part_number","family_series","brand_logo_url","price","lead_time","is_discontinued","is_repairable","voltage","output_type","sensing_type","protection_rating","categories_separated","url","image_url","net_weight","gross_weight","ship_length","ship_width","ship_height","category_level_2","accessory_type"
"312260-PILZ","312260","PSSu E F AI I","PILZ","312260","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","307","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312260-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312260-pilz.jpg","0.0794","0.097","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312261-PILZ","312261","PSSu E AI SHT1","PILZ","312261","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","240","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312261-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312261-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312265-PILZ","312265","PSSu E F AI U","PILZ","312265","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","307","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312265-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312265-pilz.jpg","0.0816","0.0948","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312275-PILZ","312275","PSSu E F ABS SSI","PILZ","312275","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","554","6","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312275-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312275-pilz.jpg","0.075","0.07","2.9","2.3","0.5","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312280-PILZ","312280","PSSu E F INC","PILZ","312280","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","628","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312280-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312280-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312400-PILZ","312400","PSSu E S 4DI","PILZ","312400","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","77.76","2","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312400-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312400-pilz.jpg","0.0683","0.0838","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312401-PILZ","312401","PSSu E S 4DI-D","PILZ","312401","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","98.69","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312401-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312401-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312405-PILZ","312405","PSSu E S 4DO 0.5","PILZ","312405","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","93.71","9","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312405-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312405-pilz.jpg","0.075","0.0926","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312406-PILZ","312406","PSSu E S 4DO 0.5-D","PILZ","312406","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","104.67","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312406-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312406-pilz.jpg","0.075","0.0926","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312410-PILZ","312410","PSSu E S 2DO 2","PILZ","312410","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","108.66","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312410-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312410-pilz.jpg","0.0728","0.0904","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312420-PILZ","312420","PSSu K F FAU B","PILZ","312420","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","1903","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312420-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312420-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312421-PILZ","312421","PSSu K F FAU P","PILZ","312421","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","4620","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312421-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312421-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312430-PILZ","312430","PSSu K S 16DI","PILZ","312430","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","282.12","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312430-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312430-pilz.jpg","0.1918","0.2094","2.2","1.18","5.07","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312431-PILZ","312431","PSSu K S 8DI 8DO 0.5","PILZ","312431","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","306.04","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312431-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312431-pilz.jpg","0.1918","0.2756","2.2","1.18","5.07","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312432-PILZ","312432","PSSu K S 16DO 0.5","PILZ","312432","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","299.07","4","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312432-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312432-pilz.jpg","0.2","0.23","1.65","2.15","5.05","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
